Mr Divide,MrDivide_,Mon Nov 02 18:50:13 +0000 2015,"@_hologrxphic @Jxery I have £1.20 and I want Jack #firstworldproblems"
Fabian Arteaga,arteaga_fabian,Mon Nov 02 18:07:07 +0000 2015,"I don't know what restaurant I want to stop by to get breakfast from before work 😕 #firstworldproblems"
Lindsay Ramstetter,RamstetterPhoto,Mon Nov 02 18:06:08 +0000 2015,"Cracked my thumb nail and had to cut it a little too short. Now I have to wear a bandaid because it hurts #firstworldproblems"
armyRN,Rsherman2013,Mon Nov 02 18:05:18 +0000 2015,"My dogs don't know daylight savings.... #firstworldproblems #dogs #dogsarejoy"
Joshua O'Connor,ArmsRacePro,Mon Nov 02 18:04:59 +0000 2015,"#firstworldproblems "This @RED_Cinema Epic footage is taking like 8 minutes to render..." #fcpx #red #nonproblems https://t.co/6ToCdgJeMD"
Kizzy ^.^,Kyrak270,Mon Nov 02 18:04:25 +0000 2015,"I really want some cake right now #firstworldproblems"
Ashley Patterson,_atpatterson,Mon Nov 02 18:03:11 +0000 2015,"@david_hodgins #firstworldproblems"
Prevoo,PrevooApp,Mon Nov 02 18:03:03 +0000 2015,"THIS. #voicemail #FirstWorldProblems https://t.co/32KuRidLPP"
Ellen Louise Taylor,ellie_lou88,Mon Nov 02 18:02:43 +0000 2015,"Train delays and hungry #firstworldproblems"
Anne-Marie Tomchak,AMTomchak,Mon Nov 02 18:01:00 +0000 2015,"When you've been on hold so long that you've listened to hours of cheesy airline music. #fogfacts #firstworldproblems"
Aldair Mejia,xldxir,Mon Nov 02 18:00:04 +0000 2015,"@Shadypenguinn #firstworldproblems"
Charley Nicholls,CharleyNicholls,Mon Nov 02 17:58:19 +0000 2015,"@leedevall #firstworldproblems"
Kim Smith,kimofthedead,Mon Nov 02 17:58:13 +0000 2015,"@zacayoung we also call this #firstworldproblems. I suffer as well."
Rosie Campbell,xrosebudx,Mon Nov 02 17:57:59 +0000 2015,"CANT find a dress anywhere for Friday night :( 😭😭😭 #firstworldproblems"
Steven Scott,scottsy2034,Mon Nov 02 17:57:25 +0000 2015,"Why is it everytime I need to do something important on the PC it needs an update. #firstworldproblems"
Jennifer Pontes ♡,jenpontes,Mon Nov 02 17:56:41 +0000 2015,"@caitlinpontes #firstworldproblems"
Inés L Valdés,inesLvaldes,Mon Nov 02 17:55:54 +0000 2015,"I've got it, the holy grail of #firstworldproblems : tube delays mean I might be late to my Monday night Iyengar yoga class #realproblems"
New York Dog Nanny,NewYorkDogNanny,Mon Nov 02 17:55:29 +0000 2015,"RT @pethealerny: Filtered water brings the same benefits to you as it does your pet! #indulgethem #healthypets #firstworldproblems #h2o"
The Serpent Rooms,TheSerpentRooms,Mon Nov 02 17:55:15 +0000 2015,"RT @KinkCraft: #FirstWorldProblems I can't open the cupboard because there are too many sex toys to review in there. Lol https://t.co/JmraG…"
Micah,WhatTheMicah,Mon Nov 02 17:54:56 +0000 2015,"Really need to invest in a charging cable for my office. 36% before noon isn't going to work. #firstworldproblems"
10,princessofargos,Mon Nov 02 17:54:49 +0000 2015,"My sister got me pork jerky instead of beef 😡 #firstworldproblems #stillmadtho"
Carolin DeArmon,CarolinDeArmon,Mon Nov 02 17:54:34 +0000 2015,"Working out while sick is not a good combo. Laid on the floor for like 10 minutes coughing. #firstworldproblems"
caitlin,caitlinpreachit,Mon Nov 02 17:54:04 +0000 2015,"when ur not hungry now but ur class is an hour and a half and ull be hungry before its over... #firstworldproblems"
charleen,charleenD,Mon Nov 02 17:51:22 +0000 2015,"When you make shrimp pad thai and it turns out to be soo much shrimp #firstworldproblems  #shrimp"
beejayarr,nodnarb_8,Mon Nov 02 17:49:01 +0000 2015,"To all my chipotle bae's.. When you can't decide on burrito or bowl so you get both.. The struggles real. #firstworldproblems"
Mse: 3-5  0-3 Hou.,_BoobieJohnson,Mon Nov 02 17:48:58 +0000 2015,"RT @Jodilynn__: I haaaattteeee when fast food places get my order wrong. I just hate going back and having then fix it. #firstworldproblems"
Rachel Dean,RachelDean30,Mon Nov 02 17:48:55 +0000 2015,"The worst part about lunch is realizing you don't have any more food.  #FirstWorldProblems"
JoJo,Jodilynn__,Mon Nov 02 17:47:19 +0000 2015,"I haaaattteeee when fast food places get my order wrong. I just hate going back and having then fix it. #firstworldproblems"
Matthew Wellbourne,mattwellbourne,Mon Nov 02 17:46:54 +0000 2015,"That should've been plural. *issues @AlishaLTaylor #firstworldproblems 💁🏼"
Kristin Rebecca,kristinrebecca1,Mon Nov 02 17:46:34 +0000 2015,"I don't believe there is a graceful way to eat a taco #food #firstworldproblems"
EVE SAYER,hilady2u,Mon Nov 02 17:46:33 +0000 2015,"#eatinghealthy after #stuffing #myface with #halloweencandy  #firstworldproblems"
Leon c:,DasLeoon,Mon Nov 02 17:44:55 +0000 2015,"Seit wann sind Seen nass?! :o #firstworldproblems https://t.co/WT7Bevp2Ke"
Matthew Parker,MattParker_001,Mon Nov 02 17:44:35 +0000 2015,"When you get home from work to find out the yesterday's #dominospizza has been thrown out. #gutted #furious #firstworldproblems"
Ben Armstrong,Pretty_cool_ben,Mon Nov 02 17:43:55 +0000 2015,"You know its bad when your WI-FI is down and you cant go on youtube so you have to listen to the songs on fifa 16 #firstworldproblems :("
Taryn Martin,Tarynandalatte,Mon Nov 02 17:43:20 +0000 2015,"Trying to get back on the healthy eating bandwagon. #greenjuice #firstworldproblems https://t.co/t1mWsG5yS7"
Cup of Jo,CarolynWirtz627,Mon Nov 02 17:42:45 +0000 2015,"My badge attire is on point today but my camera sucks. #firstworldproblems #sororitygirlprobs"
Daniela Esquivel,lickthexxxxx,Mon Nov 02 17:41:11 +0000 2015,"RT @miggyg15: @lickthexxxxx #firstworldproblems"
Chris Lisica,cr0f0x,Mon Nov 02 17:40:24 +0000 2015,"Wow, thought I was the only one. This Canadian/US currency thing is killing me! ;) #roadwarrior #firstworldproblems  https://t.co/ojNi3jfYbV"
Zen_Shot,Zen_Shot,Mon Nov 02 17:39:29 +0000 2015,"@jackfrags Had to cancel mine after Bethesda finally decided to release the max phone size that fits. #firstworldproblems #boohoo"
Dark Otaku Rider,foxroano9T,Mon Nov 02 17:38:34 +0000 2015,"So many games to play so little time &gt;__&lt; #firstworldproblems"
hey.,atk0224,Mon Nov 02 17:38:26 +0000 2015,"@fieramusca or is it #firstworldproblems ?"
Miguel de la Casa,M_delacasa,Mon Nov 02 17:37:41 +0000 2015,"Se me han empañado las gafas al beber el café #firstworldproblems"
Kink Craft,KinkCraft,Mon Nov 02 17:36:55 +0000 2015,"#FirstWorldProblems I can't open the cupboard because there are too many sex toys to review in there. Lol https://t.co/JmraGBsHwG"
Nick Jennings,slvrbckt,Mon Nov 02 17:34:28 +0000 2015,"#firstworldproblems  https://t.co/T9A6OZub0s"
